B,C,A,Time
51,1,49,11.4528
52,1,48,43.0822
53,1,47,79.2936
54,1,46,116.662
55,1,45,130.411
56,1,44,164.265
57,1,43,182.885
58,1,42,200.794
59,1,41,207.779
60,1,40,207.878
61,1,39,238.024
62,1,38,264.325
63,1,37,269.825
64,1,36,285.525
65,1,35,291.803
66,1,34,298.074
67,1,33,329.725
68,1,32,329.93
69,1,31,370.1
70,1,30,402.32
71,1,29,409.794
72,1,28,419.119
73,1,27,458.287
74,1,26,501.387
75,1,25,502.381
76,1,24,554.445
77,1,23,613.805
78,1,22,617.925
79,1,21,650.269
80,1,20,652.719
81,1,19,709.875
82,1,18,743.116
83,1,17,1065.42
84,1,16,1117.31
85,1,15,1130
86,1,14,1145.43
87,1,13,1154.63
88,1,12,1159.68
89,1,11,1420.85
90,1,10,1453.12
91,1,9,1463.61
92,1,8,1489.76
93,1,7,1927.4
