R,H,I,E,S,Time
41,0,48,134,9777,2.80688
41,0,48,135,9776,2.81229
41,0,48,136,9775,2.82376
41,0,48,137,9774,2.83621
41,0,49,136,9774,2.88533
41,0,50,135,9774,2.91095
42,0,49,135,9774,2.98102
42,0,50,134,9774,3.00175
42,0,50,135,9773,3.003
42,0,50,136,9772,3.02124
42,0,50,137,9771,3.02846
42,0,51,136,9771,3.03745
42,0,51,137,9770,3.0674
42,0,52,136,9770,3.06834
42,0,52,137,9769,3.11682
42,0,53,136,9769,3.11984
42,0,53,137,9768,3.12526
42,0,53,138,9767,3.13752
42,0,53,139,9766,3.14376
42,0,54,138,9766,3.14467
42,0,55,137,9766,3.14967
42,0,55,138,9765,3.15595
42,0,56,137,9765,3.17048
42,0,56,138,9764,3.18135
43,0,55,138,9764,3.18365
43,0,55,139,9763,3.18382
43,0,55,140,9762,3.22346
44,0,54,140,9762,3.23402
44,0,54,141,9761,3.27247
44,0,54,142,9760,3.28402
45,0,53,142,9760,3.29087
45,0,54,141,9760,3.30202
46,0,53,141,9760,3.31639
46,0,53,142,9759,3.32113
47,0,52,142,9759,3.3277
47,0,52,143,9758,3.33257
48,0,51,143,9758,3.33471
48,0,51,144,9757,3.3405
48,0,51,145,9756,3.37252
48,0,51,146,9755,3.37595
48,0,51,147,9754,3.37826
48,0,51,148,9753,3.38534
48,0,52,147,9753,3.40219
48,0,53,146,9753,3.4027
49,0,52,146,9753,3.40354
49,0,53,145,9753,3.40559
49,0,53,146,9752,3.40583
49,0,53,147,9751,3.40955
49,0,54,146,9751,3.45286
49,0,54,147,9750,3.46221
49,0,54,148,9749,3.51437
49,0,54,149,9748,3.51878
49,0,55,148,9748,3.56451
50,0,54,148,9748,3.57004
50,0,54,149,9747,3.59399
50,0,54,150,9746,3.60393
50,0,55,149,9746,3.62437
50,0,55,150,9745,3.62569
50,0,55,151,9744,3.63624
50,0,55,152,9743,3.6541
50,0,55,153,9742,3.66656
51,0,54,153,9742,3.68222
52,0,53,153,9742,3.68378
52,0,53,154,9741,3.70072
52,0,54,153,9741,3.71537
52,0,54,154,9740,3.72235
53,0,53,154,9740,3.74064
53,0,54,153,9740,3.75763
53,0,54,154,9739,3.76993
53,0,54,155,9738,3.7923
53,0,55,154,9738,3.81083
54,0,54,154,9738,3.83162
54,0,55,153,9738,3.85441
54,0,55,154,9737,3.85917
54,0,56,153,9737,3.88135
54,0,57,152,9737,3.88195
55,0,56,152,9737,3.88612
55,0,56,153,9736,3.89066
55,0,57,152,9736,3.8942
56,0,56,152,9736,3.91284
56,0,56,153,9735,3.91376
56,0,56,154,9734,3.91989
56,0,56,155,9733,3.92815
56,0,56,156,9732,3.93718
57,0,55,156,9732,3.94542
57,0,56,155,9732,3.95533
58,0,55,155,9732,3.97903
58,0,55,156,9731,3.97971
58,0,56,155,9731,3.98128
58,0,56,156,9730,3.9843
58,0,56,157,9729,4.00503
58,0,56,158,9728,4.0099
58,0,56,159,9727,4.01857
58,0,56,160,9726,4.02934
58,0,56,161,9725,4.04424
58,0,57,160,9725,4.07146
58,0,57,161,9724,4.07349
58,0,57,162,9723,4.07546
58,0,58,161,9723,4.08095
58,0,58,162,9722,4.08122
58,0,59,161,9722,4.10249
59,0,58,161,9722,4.1244
59,0,59,160,9722,4.12798
59,0,59,161,9721,4.13597
60,0,58,161,9721,4.14379
60,0,59,160,9721,4.15428
60,0,59,161,9720,4.15791
61,0,58,161,9720,4.15884
61,0,58,162,9719,4.1742
61,0,59,161,9719,4.17877
61,0,60,160,9719,4.17986
62,0,59,160,9719,4.18012
63,0,58,160,9719,4.18669
63,0,58,161,9718,4.20369
63,0,59,160,9718,4.21068
63,0,60,159,9718,4.22123
63,0,61,158,9718,4.22325
63,0,61,159,9717,4.22342
63,0,62,158,9717,4.22476
63,0,62,159,9716,4.23826
63,0,62,160,9715,4.24244
63,0,62,161,9714,4.24849
63,0,62,162,9713,4.24954
63,0,63,161,9713,4.26126
63,0,63,162,9712,4.26385
63,0,63,163,9711,4.28178
64,0,62,163,9711,4.28483
64,0,63,162,9711,4.28809
65,0,62,162,9711,4.29184
65,0,63,161,9711,4.29197
66,0,62,161,9711,4.32443
66,0,62,162,9710,4.3293
66,0,62,163,9709,4.33122
66,0,62,164,9708,4.3317
66,0,62,165,9707,4.35891
66,0,63,164,9707,4.38145
67,0,62,164,9707,4.40376
67,0,62,165,9706,4.4066
67,0,63,164,9706,4.41459
67,0,63,165,9705,4.42383
67,0,64,164,9705,4.46588
67,0,64,165,9704,4.47401
67,0,65,164,9704,4.47818
67,0,65,165,9703,4.47967
67,0,66,164,9703,4.4802
68,0,65,164,9703,4.48312
69,0,64,164,9703,4.48594
70,0,63,164,9703,4.49992
70,0,63,165,9702,4.50444
70,0,63,166,9701,4.50773
70,0,63,167,9700,4.52585
70,0,63,168,9699,4.54123
70,0,64,167,9699,4.55104
70,0,64,168,9698,4.56458
70,0,64,169,9697,4.57285
70,0,65,168,9697,4.57681
70,0,65,169,9696,4.5913
70,0,65,170,9695,4.6112
70,0,66,169,9695,4.61469
71,0,65,169,9695,4.62856
72,0,64,169,9695,4.63233
73,0,63,169,9695,4.65213
73,0,64,168,9695,4.65457
73,0,64,169,9694,4.65588
73,0,64,170,9693,4.66001
74,0,63,170,9693,4.67062
74,0,64,169,9693,4.67611
74,0,64,170,9692,4.68328
74,0,65,169,9692,4.69378
74,0,65,170,9691,4.69862
74,0,65,171,9690,4.70075
74,0,65,172,9689,4.72476
74,0,66,171,9689,4.72842
74,0,66,172,9688,4.73531
75,0,65,172,9688,4.74221
75,0,65,173,9687,4.75392
76,0,64,173,9687,4.75979
76,0,64,174,9686,4.79968
76,0,65,173,9686,4.80354
77,0,64,173,9686,4.80743
78,0,63,173,9686,4.81465
78,0,63,174,9685,4.8172
78,0,63,175,9684,4.87732
78,0,63,176,9683,4.87797
78,0,64,175,9683,4.8781
78,0,64,176,9682,4.8905
78,0,64,177,9681,4.89219
78,0,65,176,9681,4.89879
78,0,65,177,9680,4.91294
79,0,64,177,9680,4.9223
79,0,65,176,9680,4.92322
79,0,65,177,9679,4.93855
79,0,66,176,9679,4.94529
79,0,66,177,9678,4.94837
79,0,66,178,9677,4.95117
79,0,67,177,9677,4.954
79,0,68,176,9677,4.97262
79,0,68,177,9676,4.9775
79,0,69,176,9676,4.98055
80,0,68,176,9676,5.02381
80,0,69,175,9676,5.0421
80,0,69,176,9675,5.04316
80,0,69,177,9674,5.06869
80,0,70,176,9674,5.07411
81,0,69,176,9674,5.07544
82,0,68,176,9674,5.07606
