R,H,I,E,S,Time
715,2,298,659,8326,16.6281
715,2,299,658,8326,16.63
716,2,298,658,8326,16.635
716,2,298,659,8325,16.6358
716,2,298,660,8324,16.6362
716,2,298,661,8323,16.6364
716,2,298,662,8322,16.6379
716,2,299,661,8322,16.6436
717,2,298,661,8322,16.6483
717,2,298,662,8321,16.6581
717,2,298,663,8320,16.6598
717,2,299,662,8320,16.6665
717,2,300,661,8320,16.667
717,2,300,662,8319,16.6678
718,2,299,662,8319,16.6688
719,2,298,662,8319,16.6701
719,2,299,661,8319,16.6733
719,2,299,662,8318,16.6749
719,2,300,661,8318,16.6773
719,2,301,660,8318,16.6776
719,2,301,661,8317,16.6793
719,2,301,662,8316,16.6797
720,2,300,662,8316,16.683
721,2,299,662,8316,16.6842
721,2,300,661,8316,16.687
721,2,300,662,8315,16.6995
721,2,300,663,8314,16.7048
721,2,300,664,8313,16.7057
721,2,301,663,8313,16.7081
721,2,302,662,8313,16.7097
721,2,303,661,8313,16.7131
721,2,304,660,8313,16.7134
721,2,305,659,8313,16.7134
722,2,304,659,8313,16.7136
723,2,303,659,8313,16.7138
723,2,303,660,8312,16.7193
723,2,303,661,8311,16.7204
723,2,303,662,8310,16.7206
723,2,304,661,8310,16.7216
723,2,305,660,8310,16.7261
724,2,304,660,8310,16.733
724,2,304,661,8309,16.7332
724,2,304,662,8308,16.7356
724,2,305,661,8308,16.7362
725,2,304,661,8308,16.7376
725,2,305,660,8308,16.7386
725,2,306,659,8308,16.742
725,2,306,660,8307,16.7422
725,2,307,659,8307,16.7435
725,2,308,658,8307,16.747
726,2,307,658,8307,16.7482
726,2,307,659,8306,16.7519
726,2,308,658,8306,16.756
726,2,308,659,8305,16.7581
726,2,308,660,8304,16.7642
726,2,308,661,8303,16.7657
726,2,308,662,8302,16.7704
727,2,307,662,8302,16.7719
727,2,308,661,8302,16.7735
727,2,308,662,8301,16.7739
727,2,309,661,8301,16.7768
728,2,308,661,8301,16.7803
729,2,307,661,8301,16.7838
729,2,307,662,8300,16.7846
730,2,306,662,8300,16.7859
730,2,306,663,8299,16.7879
730,2,307,662,8299,16.79
730,2,307,663,8298,16.7926
730,2,308,662,8298,16.7972
730,2,308,663,8297,16.7973
730,2,309,662,8297,16.7978
731,2,308,662,8297,16.8044
731,2,308,663,8296,16.8091
731,2,308,664,8295,16.8096
732,2,307,664,8295,16.8127
733,2,306,664,8295,16.8146
733,2,306,665,8294,16.8151
734,2,305,665,8294,16.8152
734,2,305,666,8293,16.8154
734,2,306,665,8293,16.8159
734,2,307,664,8293,16.8173
734,2,307,665,8292,16.821
735,2,306,665,8292,16.8213
735,2,306,666,8291,16.8228
735,2,307,665,8291,16.8289
735,2,308,664,8291,16.8304
735,2,309,663,8291,16.8316
735,2,309,664,8290,16.8318
735,2,309,665,8289,16.8321
735,2,310,664,8289,16.835
735,2,311,663,8289,16.8351
735,2,311,664,8288,16.8363
736,2,310,664,8288,16.8385
736,2,310,665,8287,16.839
737,2,309,665,8287,16.8401
737,2,309,666,8286,16.842
737,2,310,665,8286,16.8491
737,2,311,664,8286,16.851
738,2,310,664,8286,16.8513
738,2,311,663,8286,16.8515
738,2,311,664,8285,16.8515
738,2,312,663,8285,16.8639
738,2,313,662,8285,16.8653
738,2,314,661,8285,16.8654
738,2,314,662,8284,16.8656
738,2,314,663,8283,16.8681
738,2,315,662,8283,16.8693
739,2,314,662,8283,16.8703
739,2,315,661,8283,16.8706
739,2,315,662,8282,16.8712
740,2,314,662,8282,16.8721
741,2,313,662,8282,16.8776
741,2,313,663,8281,16.881
742,2,312,663,8281,16.8871
742,2,312,664,8280,16.8876
742,2,313,663,8280,16.8885
742,2,313,664,8279,16.8891
742,2,314,663,8279,16.891
742,2,315,662,8279,16.8945
743,2,314,662,8279,16.8975
743,2,315,661,8279,16.8988
744,2,314,661,8279,16.902
744,2,314,662,8278,16.9024
744,2,314,663,8277,16.9031
744,2,314,664,8276,16.9033
744,2,315,663,8276,16.904
744,2,316,662,8276,16.9057
744,2,316,663,8275,16.9059
745,2,315,663,8275,16.9064
745,2,316,662,8275,16.91
745,2,317,661,8275,16.912
745,2,318,660,8275,16.9136
746,2,317,660,8275,16.9182
747,2,316,660,8275,16.9188
747,2,316,661,8274,16.919
747,2,316,662,8273,16.9202
747,2,317,661,8273,16.9211
747,2,317,662,8272,16.9218
747,2,317,663,8271,16.9227
747,2,318,662,8271,16.924
747,2,318,663,8270,16.9244
747,2,318,664,8269,16.9272
748,2,317,664,8269,16.9294
749,2,316,664,8269,16.9305
750,2,315,664,8269,16.9333
750,2,315,665,8268,16.9336
750,2,315,666,8267,16.9353
750,2,315,667,8266,16.9412
750,2,315,668,8265,16.9418
750,2,316,667,8265,16.9421
750,2,316,668,8264,16.9487
750,2,317,667,8264,16.9501
750,2,317,668,8263,16.9538
750,2,318,667,8263,16.9542
750,2,318,668,8262,16.9555
750,2,318,669,8261,16.9639
750,2,318,670,8260,16.9641
751,2,317,670,8260,16.9685
752,2,316,670,8260,16.9685
752,2,316,671,8259,16.9689
752,2,316,672,8258,16.9702
752,2,316,673,8257,16.9734
752,2,317,672,8257,16.975
752,2,317,673,8256,16.9816
752,2,317,674,8255,16.9829
752,2,317,675,8254,16.9854
752,2,318,674,8254,16.9884
753,2,317,674,8254,16.9888
754,2,316,674,8254,16.9902
754,2,316,675,8253,16.9921
754,2,317,674,8253,16.9968
754,2,318,673,8253,16.9982
754,2,319,672,8253,16.9989
754,2,319,673,8252,17.0039
754,2,320,672,8252,17.0077
754,2,320,673,8251,17.0126
754,2,321,672,8251,17.0139
754,2,322,671,8251,17.0159
754,2,323,670,8251,17.0169
754,2,323,671,8250,17.017
754,2,324,670,8250,17.0188
754,2,324,671,8249,17.0205
754,2,325,670,8249,17.0234
754,2,325,671,8248,17.0258
754,2,325,672,8247,17.0287
754,2,325,673,8246,17.0301
755,2,324,673,8246,17.0311
756,2,323,673,8246,17.032
756,2,324,672,8246,17.0337
756,2,324,673,8245,17.0347
756,2,324,674,8244,17.0395
756,2,324,675,8243,17.0445
756,2,325,674,8243,17.045
756,2,326,673,8243,17.0475
757,2,325,673,8243,17.0475
758,2,324,673,8243,17.0555
758,2,324,674,8242,17.0555
758,2,325,673,8242,17.0559
759,2,324,673,8242,17.0573
760,2,323,673,8242,17.0578
760,2,323,674,8241,17.0679
760,2,323,675,8240,17.0703
760,2,324,674,8240,17.0704
761,2,323,674,8240,17.0712
761,2,323,675,8239,17.0751
762,2,322,675,8239,17.0751
762,2,323,674,8239,17.0763
762,2,324,673,8239,17.0797
762,2,324,674,8238,17.0852
763,2,323,674,8238,17.0857
764,2,322,674,8238,17.0911
764,2,322,675,8237,17.0927
764,2,322,676,8236,17.0955
764,2,322,677,8235,17.0965
764,2,322,678,8234,17.0968
764,2,322,679,8233,17.0988
764,2,322,680,8232,17.1
765,2,321,680,8232,17.1033
766,2,320,680,8232,17.1033
767,2,319,680,8232,17.1039
767,2,319,681,8231,17.1072
767,2,319,682,8230,17.1106
768,2,318,682,8230,17.1192
768,2,319,681,8230,17.1194
768,2,319,682,8229,17.1201
768,2,320,681,8229,17.1221
769,2,319,681,8229,17.1232
769,2,319,682,8228,17.1245
769,2,320,681,8228,17.1295
769,2,321,680,8228,17.1375
769,2,321,681,8227,17.1389
769,2,322,680,8227,17.1389
769,2,322,681,8226,17.1408
770,2,321,681,8226,17.1417
770,2,321,682,8225,17.1421
770,2,321,683,8224,17.1465
770,2,321,684,8223,17.147
771,2,320,684,8223,17.1488
771,2,321,683,8223,17.1496
772,2,320,683,8223,17.15
772,2,320,684,8222,17.1575
773,2,319,684,8222,17.1605
773,2,319,685,8221,17.1649
773,2,319,686,8220,17.1691
773,2,319,687,8219,17.171
773,2,319,688,8218,17.1722
774,2,318,688,8218,17.1731
774,2,319,687,8218,17.1769
774,2,319,688,8217,17.1803
774,2,319,689,8216,17.1809
774,2,319,690,8215,17.1834
774,2,319,691,8214,17.1835
774,2,320,690,8214,17.1848
775,2,319,690,8214,17.1904
775,2,320,689,8214,17.1915
775,2,320,690,8213,17.1948
776,2,319,690,8213,17.1955
776,2,319,691,8212,17.1973
776,2,320,690,8212,17.198
776,2,320,691,8211,17.2003
776,2,320,692,8210,17.2047
776,2,321,691,8210,17.2083
776,2,321,692,8209,17.2083
776,2,322,691,8209,17.2107
776,2,322,692,8208,17.2117
776,2,322,693,8207,17.2137
776,2,323,692,8207,17.2141
776,2,323,693,8206,17.2151
776,2,323,694,8205,17.2163
776,2,323,695,8204,17.2192
776,2,324,694,8204,17.2222
776,2,324,695,8203,17.2251
776,2,324,696,8202,17.2253
776,2,324,697,8201,17.2282
776,2,324,698,8200,17.2312
776,2,324,699,8199,17.2318
777,2,323,699,8199,17.234
777,2,324,698,8199,17.2341
778,2,323,698,8199,17.2401
778,2,323,699,8198,17.2435
779,2,322,699,8198,17.2441
780,2,321,699,8198,17.245
781,2,320,699,8198,17.2454
781,2,321,698,8198,17.2466
781,2,321,699,8197,17.2469
781,2,321,700,8196,17.2477
782,2,320,700,8196,17.2532
782,2,320,701,8195,17.2561
782,2,321,700,8195,17.2568
782,2,321,701,8194,17.2576
782,2,321,702,8193,17.2656
782,2,321,703,8192,17.2658
782,2,322,702,8192,17.2669
782,2,322,703,8191,17.269
782,2,322,704,8190,17.2702
783,2,321,704,8190,17.2755
783,2,321,705,8189,17.2775
784,2,320,705,8189,17.2832
785,2,319,705,8189,17.2844
785,2,320,704,8189,17.2863
786,2,319,704,8189,17.287
787,2,318,704,8189,17.2926
788,2,317,704,8189,17.2931
789,2,316,704,8189,17.2944
789,2,316,705,8188,17.2989
789,2,316,706,8187,17.2991
790,2,315,706,8187,17.3007
790,2,316,705,8187,17.3013
790,2,316,706,8186,17.3014
790,2,316,707,8185,17.3021
790,2,317,706,8185,17.305
790,2,317,707,8184,17.3088
790,2,317,708,8183,17.3101
790,2,317,709,8182,17.3103
790,2,318,708,8182,17.3108
790,2,319,707,8182,17.3112
790,2,319,708,8181,17.3114
791,2,318,708,8181,17.3121
791,2,319,707,8181,17.3131
792,2,318,707,8181,17.3148
792,2,319,706,8181,17.318
792,2,320,705,8181,17.3271
793,2,319,705,8181,17.3308
793,2,320,704,8181,17.334
794,2,319,704,8181,17.3345
794,2,320,703,8181,17.3347
794,2,320,704,8180,17.3348
795,2,319,704,8180,17.335
795,2,319,705,8179,17.3387
795,2,320,704,8179,17.3399
795,2,320,705,8178,17.3425
795,2,321,704,8178,17.3449
795,2,322,703,8178,17.3461
795,2,323,702,8178,17.3495
795,2,323,703,8177,17.3503
795,2,323,704,8176,17.3566
795,2,324,703,8176,17.358
796,2,323,703,8176,17.3594
796,2,324,702,8176,17.3643
796,2,325,701,8176,17.3647
796,2,326,700,8176,17.3653
796,2,326,701,8175,17.3658
796,2,326,702,8174,17.3662
796,2,326,703,8173,17.3674
796,2,326,704,8172,17.371
796,2,326,705,8171,17.3711
796,2,326,706,8170,17.3743
796,2,326,707,8169,17.3761
797,2,325,707,8169,17.3794
798,2,324,707,8169,17.3819
798,2,324,708,8168,17.3823
798,2,324,709,8167,17.3831
798,2,324,710,8166,17.3832
798,2,324,711,8165,17.3845
798,2,324,712,8164,17.3859
798,2,324,713,8163,17.3868
798,2,324,714,8162,17.387
798,2,324,715,8161,17.389
799,2,323,715,8161,17.3973
800,2,322,715,8161,17.3976
800,2,322,716,8160,17.3978
800,2,322,717,8159,17.3982
801,2,321,717,8159,17.3996
801,2,321,718,8158,17.4
801,2,321,719,8157,17.4038
801,2,321,720,8156,17.4064
801,2,322,719,8156,17.4161
801,2,323,718,8156,17.422
802,2,322,718,8156,17.4232
802,2,323,717,8156,17.4238
802,2,324,716,8156,17.4239
802,2,324,717,8155,17.4241
802,2,324,718,8154,17.4291
803,2,323,718,8154,17.4302
803,2,323,719,8153,17.4317
803,2,323,720,8152,17.4334
804,2,322,720,8152,17.4357
804,2,322,721,8151,17.4365
804,2,322,722,8150,17.4366
805,2,321,722,8150,17.4416
805,2,322,721,8150,17.4457
805,2,323,720,8150,17.4457
805,2,324,719,8150,17.4483
805,2,324,720,8149,17.4496
805,2,325,719,8149,17.4524
805,2,325,720,8148,17.4527
805,2,325,721,8147,17.4623
805,2,325,722,8146,17.4626
806,2,324,722,8146,17.4649
807,2,323,722,8146,17.4651
808,2,322,722,8146,17.4652
808,2,323,721,8146,17.466
808,2,324,720,8146,17.4682
808,2,324,721,8145,17.4683
808,2,324,722,8144,17.4687
808,2,325,721,8144,17.4709
808,2,325,722,8143,17.4712
808,2,325,723,8142,17.4723
808,2,325,724,8141,17.475
808,2,326,723,8141,17.4786
808,2,327,722,8141,17.479
808,2,327,723,8140,17.4814
809,2,326,723,8140,17.4848
809,2,326,724,8139,17.4856
809,2,327,723,8139,17.4868
809,2,327,724,8138,17.4869
810,2,326,724,8138,17.4925
810,2,327,723,8138,17.4983
810,2,327,724,8137,17.4989
810,2,327,725,8136,17.5004
811,2,326,725,8136,17.5009
811,2,326,726,8135,17.5051
812,2,325,726,8135,17.5056
812,2,325,727,8134,17.5096
812,2,325,728,8133,17.5106
812,2,326,727,8133,17.5107
812,2,327,726,8133,17.5118
812,2,327,727,8132,17.5124
812,2,327,728,8131,17.513
813,2,326,728,8131,17.5163
813,2,327,727,8131,17.5235
813,2,327,728,8130,17.5239
813,2,327,729,8129,17.5264
813,2,327,730,8128,17.5298
813,2,327,731,8127,17.5307
813,2,327,732,8126,17.532
813,2,328,731,8126,17.5325
814,2,327,731,8126,17.5349
814,2,327,732,8125,17.5364
814,2,327,733,8124,17.5395
814,2,327,734,8123,17.5431
815,2,326,734,8123,17.5436
815,2,327,733,8123,17.5467
815,2,328,732,8123,17.5528
816,2,327,732,8123,17.557
816,2,328,731,8123,17.5628
816,2,328,732,8122,17.5675
816,2,329,731,8122,17.5687
816,2,329,732,8121,17.5716
816,2,330,731,8121,17.5744
816,2,331,730,8121,17.5744
816,2,332,729,8121,17.5762
816,2,333,728,8121,17.5816
816,2,333,729,8120,17.5845
817,2,332,729,8120,17.5858
817,2,333,728,8120,17.5858
817,2,333,729,8119,17.589
817,2,333,730,8118,17.5951
817,2,333,731,8117,17.5967
817,2,334,730,8117,17.6001
817,2,335,729,8117,17.6015
817,2,336,728,8117,17.6017
817,2,337,727,8117,17.604
817,2,337,728,8116,17.6096
817,2,337,729,8115,17.6138
817,2,338,728,8115,17.6152
817,2,339,727,8115,17.6161
817,2,339,728,8114,17.6178
817,2,339,729,8113,17.6184
817,2,339,730,8112,17.6219
817,2,339,731,8111,17.6267
817,2,340,730,8111,17.6269
818,2,339,730,8111,17.6297
818,2,339,731,8110,17.6301
818,2,340,730,8110,17.6374
818,2,341,729,8110,17.6388
818,2,341,730,8109,17.6418
819,2,340,730,8109,17.6424
819,2,340,731,8108,17.6455
819,2,340,732,8107,17.6502
820,2,339,732,8107,17.6519
820,2,339,733,8106,17.6555
821,2,338,733,8106,17.6567
821,2,338,734,8105,17.6586
821,2,338,735,8104,17.6587
822,2,337,735,8104,17.6593
822,2,337,736,8103,17.6603
822,2,337,737,8102,17.661
822,2,338,736,8102,17.6617
822,2,338,737,8101,17.6622
822,2,338,738,8100,17.663
822,2,338,739,8099,17.6697
822,2,339,738,8099,17.6748
822,2,339,739,8098,17.6768
822,2,339,740,8097,17.6837
822,2,339,741,8096,17.6845
822,2,339,742,8095,17.685
823,2,338,742,8095,17.6855
823,2,338,743,8094,17.6866
823,2,338,744,8093,17.6884
823,2,338,745,8092,17.6921
823,2,339,744,8092,17.693
823,2,340,743,8092,17.6966
823,2,340,744,8091,17.6967
823,2,341,743,8091,17.6993
824,2,340,743,8091,17.7033
825,2,339,743,8091,17.7044
825,2,340,742,8091,17.7053
826,2,339,742,8091,17.7053
826,2,339,743,8090,17.7064
826,2,339,744,8089,17.7138
826,2,340,743,8089,17.7141
826,2,340,744,8088,17.7165
826,2,341,743,8088,17.7189
827,2,340,743,8088,17.7192
828,2,339,743,8088,17.7202
828,2,339,744,8087,17.7206
828,2,339,745,8086,17.7242
828,2,340,744,8086,17.7246
828,2,340,745,8085,17.7249
828,2,340,746,8084,17.7259
828,2,341,745,8084,17.7262
828,2,341,746,8083,17.7282
828,2,341,747,8082,17.729
828,2,341,748,8081,17.7294
829,2,340,748,8081,17.7294
830,2,339,748,8081,17.73
830,2,339,749,8080,17.7318
830,2,339,750,8079,17.7326
831,2,338,750,8079,17.7371
831,2,339,749,8079,17.7384
831,2,340,748,8079,17.7393
831,2,341,747,8079,17.7412
831,2,341,748,8078,17.7428
832,2,340,748,8078,17.7444
833,2,339,748,8078,17.7448
833,2,339,749,8077,17.7456
833,2,340,748,8077,17.7466
834,2,339,748,8077,17.749
835,2,338,748,8077,17.7527
835,2,338,749,8076,17.7528
835,2,339,748,8076,17.7548
836,2,338,748,8076,17.7561
836,2,339,747,8076,17.7582
837,2,338,747,8076,17.7608
837,2,339,746,8076,17.7622
838,2,338,746,8076,17.7649
838,2,338,747,8075,17.767
838,2,338,748,8074,17.7697
838,2,338,749,8073,17.7738
838,2,339,748,8073,17.774
839,2,338,748,8073,17.7743
839,2,338,749,8072,17.7804
839,2,338,750,8071,17.7834
839,2,338,751,8070,17.7837
839,2,338,752,8069,17.788
840,2,337,752,8069,17.7904
841,2,336,752,8069,17.7978
841,2,336,753,8068,17.7983
842,2,335,753,8068,17.8007
842,2,336,752,8068,17.8025
843,2,335,752,8068,17.8027
843,2,336,751,8068,17.803
843,2,337,750,8068,17.8076
843,2,337,751,8067,17.8119
843,2,338,750,8067,17.8169
843,2,339,749,8067,17.8173
843,2,339,750,8066,17.8185
844,2,338,750,8066,17.8186
844,2,338,751,8065,17.8205
844,2,338,752,8064,17.821
845,2,337,752,8064,17.825
845,2,337,753,8063,17.8266
846,2,336,753,8063,17.8269
846,2,336,754,8062,17.8318
846,2,337,753,8062,17.8328
846,2,337,754,8061,17.8334
847,2,336,754,8061,17.8416
847,2,336,755,8060,17.8517
847,2,336,756,8059,17.8522
847,2,336,757,8058,17.8545
848,2,335,757,8058,17.8552
848,2,335,758,8057,17.8558
849,2,334,758,8057,17.8595
849,2,334,759,8056,17.8599
849,2,334,760,8055,17.8617
849,2,334,761,8054,17.8649
849,2,334,762,8053,17.8661
849,2,334,763,8052,17.8673
850,2,333,763,8052,17.8697
850,2,334,762,8052,17.8705
850,2,334,763,8051,17.8715
851,2,333,763,8051,17.8729
852,2,332,763,8051,17.8739
853,2,331,763,8051,17.8762
853,2,331,764,8050,17.8767
853,2,332,763,8050,17.8869
853,2,332,764,8049,17.8872
853,2,333,763,8049,17.8888
853,2,333,764,8048,17.891
853,2,333,765,8047,17.8922
854,2,332,765,8047,17.8942
855,2,331,765,8047,17.8946
855,2,332,764,8047,17.8951
855,2,332,765,8046,17.896
855,2,333,764,8046,17.8962
855,2,333,765,8045,17.897
855,2,334,764,8045,17.9003
856,2,333,764,8045,17.9008
857,2,332,764,8045,17.901
857,2,333,763,8045,17.9065
857,2,333,764,8044,17.9071
857,2,333,765,8043,17.9079
857,2,333,766,8042,17.9101
858,2,332,766,8042,17.9115
859,2,331,766,8042,17.923
859,2,331,767,8041,17.9237
859,2,331,768,8040,17.9239
859,2,331,769,8039,17.9251
859,2,332,768,8039,17.9289
859,2,332,769,8038,17.9297
859,2,332,770,8037,17.9311
860,2,331,770,8037,17.9332
860,2,332,769,8037,17.9342
860,2,333,768,8037,17.9349
860,2,334,767,8037,17.941
860,2,335,766,8037,17.9414
860,2,335,767,8036,17.9418
860,2,335,768,8035,17.9426
860,2,335,769,8034,17.9441
861,2,334,769,8034,17.9505
861,2,335,768,8034,17.9519
861,2,335,769,8033,17.9522
861,2,336,768,8033,17.954
861,2,336,769,8032,17.9608
861,2,337,768,8032,17.964
862,2,336,768,8032,17.966
863,2,335,768,8032,17.9691
864,2,334,768,8032,17.9719
864,2,334,769,8031,17.9727
864,2,334,770,8030,17.9739
865,2,333,770,8030,17.9756
865,2,334,769,8030,17.977
865,2,335,768,8030,17.9772
865,2,335,769,8029,17.9791
866,2,334,769,8029,17.9805
866,2,334,770,8028,17.9806
867,2,333,770,8028,17.9807
867,2,334,769,8028,17.9815
867,2,335,768,8028,17.9822
867,2,335,769,8027,17.9851
868,2,334,769,8027,17.9896
868,2,334,770,8026,17.9929
868,2,335,769,8026,17.996
868,2,335,770,8025,17.9976
868,2,336,769,8025,17.9976
868,2,337,768,8025,17.9979
869,2,336,768,8025,17.9982
869,2,336,769,8024,17.9998
870,2,335,769,8024,18.0019
870,2,335,770,8023,18.0041
870,2,335,771,8022,18.0075
870,2,335,772,8021,18.0084
870,2,336,771,8021,18.0123
870,2,336,772,8020,18.0137
870,2,337,771,8020,18.0156
871,2,336,771,8020,18.017
871,2,336,772,8019,18.0174
871,2,337,771,8019,18.0181
872,2,336,771,8019,18.0184
872,2,336,772,8018,18.0195
872,2,336,773,8017,18.0205
872,2,337,772,8017,18.0206
873,2,336,772,8017,18.0227
873,2,337,771,8017,18.0234
873,2,337,772,8016,18.0272
873,2,338,771,8016,18.0284
873,2,338,772,8015,18.0314
873,2,338,773,8014,18.0325
873,2,338,774,8013,18.0422
873,2,338,775,8012,18.0463
873,2,338,776,8011,18.0464
873,2,338,777,8010,18.0498
873,2,338,778,8009,18.0531
874,2,337,778,8009,18.054
874,2,338,777,8009,18.0548
875,2,337,777,8009,18.0551
875,2,337,778,8008,18.0582
875,2,337,779,8007,18.0618
875,2,337,780,8006,18.0624
875,2,338,779,8006,18.0628
875,2,338,780,8005,18.0636
875,2,338,781,8004,18.0656
875,2,338,782,8003,18.0679
875,2,338,783,8002,18.0687
875,2,339,782,8002,18.0696
875,2,339,783,8001,18.07
875,2,339,784,8000,18.0702
876,2,338,784,8000,18.0717
876,2,338,785,7999,18.0724
876,2,338,786,7998,18.073
876,2,339,785,7998,18.0791
876,2,339,786,7997,18.0794
876,2,339,787,7996,18.0796
876,2,339,788,7995,18.0798
876,2,339,789,7994,18.0837
876,2,340,788,7994,18.0839
876,2,341,787,7994,18.0862
876,2,342,786,7994,18.0864
876,2,342,787,7993,18.0875
876,2,342,788,7992,18.0916
876,2,342,789,7991,18.0945
876,2,342,790,7990,18.0968
876,2,342,791,7989,18.0985
877,2,341,791,7989,18.0997
877,2,341,792,7988,18.1008
878,2,340,792,7988,18.1098
879,2,339,792,7988,18.1114
879,2,340,791,7988,18.1115
879,2,341,790,7988,18.1116
879,2,341,791,7987,18.1122
879,2,342,790,7987,18.1139
879,2,342,791,7986,18.1195
879,2,342,792,7985,18.1195
880,2,341,792,7985,18.122
880,2,342,791,7985,18.1237
881,2,341,791,7985,18.1241
881,2,342,790,7985,18.1245
881,2,343,789,7985,18.1251
881,2,343,790,7984,18.1252
881,2,344,789,7984,18.1271
881,2,345,788,7984,18.1321
881,2,345,789,7983,18.1355
881,2,346,788,7983,18.1358
881,2,346,789,7982,18.1372
882,2,345,789,7982,18.1375
883,2,344,789,7982,18.1384
884,2,343,789,7982,18.1398
884,2,344,788,7982,18.1407
884,2,344,789,7981,18.1409
884,2,344,790,7980,18.1417
885,2,343,790,7980,18.1465
885,2,343,791,7979,18.147
886,2,342,791,7979,18.15
886,2,343,790,7979,18.1508
886,2,344,789,7979,18.151
886,2,344,790,7978,18.1519
886,2,345,789,7978,18.1548
887,2,344,789,7978,18.1566
887,2,345,788,7978,18.1567
887,2,346,787,7978,18.1576
888,2,345,787,7978,18.1676
889,2,344,787,7978,18.17
890,2,343,787,7978,18.1727
890,2,343,788,7977,18.1733
891,2,342,788,7977,18.1788
891,2,343,787,7977,18.186
891,2,343,788,7976,18.1874
892,2,342,788,7976,18.1898
892,2,342,789,7975,18.1927
893,2,341,789,7975,18.1938
893,2,342,788,7975,18.1963
893,2,342,789,7974,18.1978
894,2,341,789,7974,18.1984
894,2,341,790,7973,18.1986
894,2,341,791,7972,18.1996
894,2,342,790,7972,18.2047
894,2,342,791,7971,18.2047
894,2,342,792,7970,18.2053
894,2,342,793,7969,18.2083
894,2,342,794,7968,18.2085
894,2,343,793,7968,18.2108
894,2,344,792,7968,18.2114
894,2,344,793,7967,18.2124
894,2,344,794,7966,18.216
895,2,343,794,7966,18.2198
896,2,342,794,7966,18.2215
896,2,343,793,7966,18.2217
896,2,344,792,7966,18.2232
896,2,344,793,7965,18.2252
897,2,343,793,7965,18.2255
898,2,342,793,7965,18.2317
899,2,341,793,7965,18.2347
899,2,342,792,7965,18.2353
900,2,341,792,7965,18.2355
900,2,341,793,7964,18.2359
900,2,342,792,7964,18.2378
901,2,341,792,7964,18.2384
902,2,340,792,7964,18.2417
902,2,341,791,7964,18.243
903,2,340,791,7964,18.2453
903,2,340,792,7963,18.2461
903,2,340,793,7962,18.2461
903,2,341,792,7962,18.2531
903,2,341,793,7961,18.2532
903,2,342,792,7961,18.2544
903,2,342,793,7960,18.2547
903,2,342,794,7959,18.2554
903,2,342,795,7958,18.2596
904,2,341,795,7958,18.2611
904,2,342,794,7958,18.2635
904,2,343,793,7958,18.2648
905,2,342,793,7958,18.2666
905,2,342,794,7957,18.2673
905,2,343,793,7957,18.2678
905,2,343,794,7956,18.2699
906,2,342,794,7956,18.2726
906,2,342,795,7955,18.2731
906,2,342,796,7954,18.2746
906,2,342,797,7953,18.2761
906,2,342,798,7952,18.2772
907,2,341,798,7952,18.2803
907,2,341,799,7951,18.2811
907,2,341,800,7950,18.2813
908,2,340,800,7950,18.2864
908,2,341,799,7950,18.287
908,2,341,800,7949,18.2896
908,2,342,799,7949,18.2897
909,2,341,799,7949,18.2922
909,2,341,800,7948,18.2958
909,2,341,801,7947,18.3002
909,2,342,800,7947,18.3022
909,2,342,801,7946,18.3061
909,2,343,800,7946,18.3091
909,2,344,799,7946,18.3101
910,2,343,799,7946,18.3141
910,2,343,800,7945,18.3154
911,2,342,800,7945,18.3198
911,2,343,799,7945,18.3214
911,2,344,798,7945,18.3245
911,2,344,799,7944,18.326
911,2,345,798,7944,18.3278
911,2,346,797,7944,18.3322
911,2,347,796,7944,18.3344
911,2,348,795,7944,18.3362
911,2,349,794,7944,18.3381
911,2,349,795,7943,18.3381
911,2,350,794,7943,18.34
912,2,349,794,7943,18.3435
912,2,350,793,7943,18.3462
913,2,349,793,7943,18.3479
913,2,349,794,7942,18.3548
914,2,348,794,7942,18.3558
914,2,349,793,7942,18.3582
914,2,350,792,7942,18.3602
915,2,349,792,7942,18.3604
916,2,348,792,7942,18.3608
916,2,348,793,7941,18.3673
916,2,349,792,7941,18.3717
917,2,348,792,7941,18.3727
917,2,349,791,7941,18.3766
917,2,349,792,7940,18.3785
917,2,349,793,7939,18.379
917,2,350,792,7939,18.3833
917,2,351,791,7939,18.3845
917,2,352,790,7939,18.3882
917,2,352,791,7938,18.3936
917,2,352,792,7937,18.3938
917,2,353,791,7937,18.3945
917,2,353,792,7936,18.4
917,2,353,793,7935,18.4003
917,2,353,794,7934,18.4019
918,2,352,794,7934,18.4035
918,2,353,793,7934,18.4079
918,2,353,794,7933,18.4097
918,2,354,793,7933,18.4103
918,2,355,792,7933,18.4163
919,2,354,792,7933,18.4206
920,2,353,792,7933,18.4235
920,2,353,793,7932,18.4242
920,2,353,794,7931,18.4265
920,2,353,795,7930,18.4285
920,2,354,794,7930,18.4287
920,2,354,795,7929,18.4294
920,2,354,796,7928,18.4301
920,2,354,797,7927,18.4311
921,2,353,797,7927,18.4321
921,2,354,796,7927,18.4336
921,2,354,797,7926,18.4362
921,2,354,798,7925,18.4368
921,2,354,799,7924,18.4389
922,2,353,799,7924,18.4398
922,2,353,800,7923,18.4403
922,2,353,801,7922,18.4417
922,2,353,802,7921,18.4458
922,2,353,803,7920,18.4474
922,2,354,802,7920,18.4477
922,2,355,801,7920,18.448
922,2,355,802,7919,18.4523
922,2,356,801,7919,18.4559
