B,C,A,Time
1,2,99,1.3296
2,2,98,4.60673
3,2,97,4.93954
4,2,96,7.28365
5,2,95,11.8507
6,2,94,14.9785
7,2,93,15.1085
8,2,92,17.9497
9,2,91,20.2242
10,2,90,22.7953
11,2,89,27.0376
12,2,88,27.7018
13,2,87,27.8073
14,2,86,30.789
15,2,85,34.2221
16,2,84,42.7983
17,2,83,44.3588
18,2,82,46.6681
19,2,81,51.0365
20,2,80,57.4532
21,2,79,63.1244
22,2,78,72.9491
23,2,77,75.0559
24,2,76,95.0976
25,2,75,98.6498
26,2,74,99.341
27,2,73,100.288
28,2,72,102.373
29,2,71,103.443
30,2,70,113.099
31,2,69,134.521
32,2,68,144.12
33,2,67,148.013
34,2,66,155.273
35,2,65,160.969
36,2,64,168.48
37,2,63,192.49
38,2,62,204.623
39,2,61,206.771
40,2,60,208.398
41,2,59,209.616
42,2,58,214.014
43,2,57,226.4
44,2,56,243.963
45,2,55,258.48
46,2,54,259.225
47,2,53,260.838
48,2,52,272.333
49,2,51,294.394
50,2,50,296.705
51,2,49,330.205
52,2,48,330.826
53,2,47,347.144
54,2,46,351.258
55,2,45,369.938
56,2,44,370.56
57,2,43,372.236
58,2,42,392.329
59,2,41,395.086
60,2,40,439.009
61,2,39,445.929
62,2,38,447.272
63,2,37,464.155
64,2,36,514.915
65,2,35,521.927
66,2,34,536.802
67,2,33,549.689
68,2,32,560.448
69,2,31,580.792
70,2,30,585.322
71,2,29,586.599
72,2,28,632.257
73,2,27,659.706
74,2,26,679.529
75,2,25,720.92
76,2,24,744.372
77,2,23,761.404
78,2,22,761.961
79,2,21,765.488
80,2,20,766.037
81,2,19,811.529
82,2,18,814.149
83,2,17,848.24
84,2,16,887.667
85,2,15,923.036
86,2,14,972.954
87,2,13,1136.78
88,2,12,1146.38
89,2,11,1166.99
90,2,10,1222.23
91,2,9,1283.45
92,2,8,1314.42
93,2,7,1335.09
94,2,6,1366.67
95,2,5,1437.17
96,2,4,1487.81
97,2,3,1495
98,2,2,1703.29
